question_id,question_text,answer,category,scenario_phase,source_url,source_section
211,How many cryptocurrency mining destinations are visited by Frothly endpoints?,6,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#211----how-many-cryptocurrency-mining-destinations-are-visited-by-frothly-endpoints,211----how-many-cryptocurrency-mining-destinations-are-visited-by-frothly-endpoints
212,"Using Splunk’s event order functions, what is the first seen signature ID of the coin miner threat according to Frothly’s Symantec Endpoint Protection (SEP) data?",30358,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#212----using-splunks-event-order-functions-what-is-the-first-seen-signature-id-of-the-coin-miner-threat-according-to-frothlys-symantec-endpoint-protection-sep-data,212----using-splunks-event-order-functions-what-is-the-first-seen-signature-id-of-the-coin-miner-threat-according-to-frothlys-symantec-endpoint-protection-sep-data
213,"According to Symantec’s website, what is the severity of this specific coin miner threat?",Medium,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#213----according-to-symantecs-website-what-is-the-severity-of-this-specific-coin-miner-threat,213----according-to-symantecs-website-what-is-the-severity-of-this-specific-coin-miner-threat
214,What is the short hostname of the only Frothly endpoint to show evidence of defeating the cryptocurrency threat?,BTUN-L,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#214----what-is-the-short-hostname-of-the-only-frothly-endpoint-to-show-evidence-of-defeating-the-cryptocurrency-threat,214----what-is-the-short-hostname-of-the-only-frothly-endpoint-to-show-evidence-of-defeating-the-cryptocurrency-threat
215,What is the FQDN of the endpoint that is running a different Windows operating system edition than the others?,BSTOLL-L.froth.ly,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#215----what-is-the-fqdn-of-the-endpoint-that-is-running-a-different-windows-operating-system-edition-than-the-others,215----what-is-the-fqdn-of-the-endpoint-that-is-running-a-different-windows-operating-system-edition-than-the-others
216,"According to the Cisco NVM flow logs, for how many seconds does the endpoint generate Monero cryptocurrency?",1667,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#216----according-to-the-cisco-nvm-flow-logs-for-how-many-seconds-does-the-endpoint-generate-monero-cryptocurrency,216----according-to-the-cisco-nvm-flow-logs-for-how-many-seconds-does-the-endpoint-generate-monero-cryptocurrency
217,What kind of Splunk visualization was in the first file attachment that Bud emails to Frothly employees to illustrate the coin miner issue?,column chart,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#217----what-kind-of-splunk-visualization-was-in-the-first-file-attachment-that-bud-emails-to-frothly-employees-to-illustrate-the-coin-miner-issue,217----what-kind-of-splunk-visualization-was-in-the-first-file-attachment-that-bud-emails-to-frothly-employees-to-illustrate-the-coin-miner-issue
218,What IAM user access key generates the most distinct errors when attempting to access IAM resources?,AKIAJOGCDXJ5NW5PXUPA,aws,AWS/web infrastructure activity,https://www.jamesgibbins.com/botsv3/#218----what-iam-user-access-key-generates-the-most-distinct-errors-when-attempting-to-access-iam-resources,218----what-iam-user-access-key-generates-the-most-distinct-errors-when-attempting-to-access-iam-resources
219,"Bud accidentally commits AWS access keys to an external code repository. Shortly after, he receives a notification from AWS that the account had been compromised. What is the support case ID that Amazon opens on his behalf?",5244329601,aws,AWS/web infrastructure activity,https://www.jamesgibbins.com/botsv3/#219----bud-accidentally-commits-aws-access-keys-to-an-external-code-repository-shortly-after-he-receives-a-notification-from-aws-that-the-account-had-been-compromised-what-is-the-support-case-id-that-amazon-opens-on-his-behalf,219----bud-accidentally-commits-aws-access-keys-to-an-external-code-repository-shortly-after-he-receives-a-notification-from-aws-that-the-account-had-been-compromised-what-is-the-support-case-id-that-amazon-opens-on-his-behalf
220,"AWS access keys consist of two parts: an access key ID (e.g., AKIAIOSFODNN7EXAMPLE) and a secret access key (e.g., wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY). What is the secret access key of the key that was leaked to the external code repository?",Bx8/gTsYC98T0oWiFhpmdROqhELPtXJSR9vFPNGk,aws,AWS/web infrastructure activity,https://www.jamesgibbins.com/botsv3/#220----aws-access-keys-consist-of-two-parts-an-access-key-id-eg-akiaiosfodnn7example-and-a-secret-access-key-eg-wjalrxutnfemik7mdengbpxrficyexamplekey-what-is-the-secret-access-key-of-the-key-that-was-leaked-to-the-external-code-repository,220----aws-access-keys-consist-of-two-parts-an-access-key-id-eg-akiaiosfodnn7example-and-a-secret-access-key-eg-wjalrxutnfemik7mdengbpxrficyexamplekey-what-is-the-secret-access-key-of-the-key-that-was-leaked-to-the-external-code-repository
221,"Using the leaked key, the adversary makes an unauthorized attempt to create a key for a specific resource. What is the name of that resource?",nullweb_admin,aws,AWS/web infrastructure activity,https://www.jamesgibbins.com/botsv3/#221----using-the-leaked-key-the-adversary-makes-an-unauthorized-attempt-to-create-a-key-for-a-specific-resource-what-is-the-name-of-that-resource,221----using-the-leaked-key-the-adversary-makes-an-unauthorized-attempt-to-create-a-key-for-a-specific-resource-what-is-the-name-of-that-resource
222,"Using the leaked key, the adversary makes an unauthorized attempt to describe an account. What is the full user agent string of the application that originated the request?",ElasticWolf/5.1.6,aws,AWS/web infrastructure activity,https://www.jamesgibbins.com/botsv3/#222----using-the-leaked-key-the-adversary-makes-an-unauthorized-attempt-to-describe-an-account-what-is-the-full-user-agent-string-of-the-application-that-originated-the-request,222----using-the-leaked-key-the-adversary-makes-an-unauthorized-attempt-to-describe-an-account-what-is-the-full-user-agent-string-of-the-application-that-originated-the-request
223,The adversary attempts to launch an Ubuntu cloud image as the compromised IAM user. What is the codename for that operating system version in the first attempt?,Xenial Xerus,aws,AWS/web infrastructure activity,https://www.jamesgibbins.com/botsv3/#223----the-adversary-attempts-to-launch-an-ubuntu-cloud-image-as-the-compromised-iam-user-what-is-the-codename-for-that-operating-system-version-in-the-first-attempt,223----the-adversary-attempts-to-launch-an-ubuntu-cloud-image-as-the-compromised-iam-user-what-is-the-codename-for-that-operating-system-version-in-the-first-attempt
224,Frothly uses Amazon Route 53 for their DNS web service. What is the average length of the distinct third-level subdomains in the queries to brewertalk.com?,8.1,aws,AWS/web infrastructure activity,https://www.jamesgibbins.com/botsv3/#224----frothly-uses-amazon-route-53-for-their-dns-web-service-what-is-the-average-length-of-the-distinct-third-level-subdomains-in-the-queries-to-brewertalkcom,224----frothly-uses-amazon-route-53-for-their-dns-web-service-what-is-the-average-length-of-the-distinct-third-level-subdomains-in-the-queries-to-brewertalkcom
225,"Using the payload data found in the memcached attack, what is the name of the .jpeg file that is used by Taedonggang to deface other brewery websites?",index1.jpeg,impact,Exfiltration or impact indicators,https://www.jamesgibbins.com/botsv3/#225----using-the-payload-data-found-in-the-memcached-attack-what-is-the-name-of-the-jpeg-file-that-is-used-by-taedonggang-to-deface-other-brewery-websites,225----using-the-payload-data-found-in-the-memcached-attack-what-is-the-name-of-the-jpeg-file-that-is-used-by-taedonggang-to-deface-other-brewery-websites
300,What is the full user agent string that uploaded the malicious link file to OneDrive?,Mozilla/5.0 (X11; U; Linux i686; ko-KP; rv: 19.1br) Gecko/20130508 Fedora/1.9.1-2.5.rs 3.0 NaenaraBrowser/3.5b4,m365,O365/OneDrive phishing and mail-rule activity,https://www.jamesgibbins.com/botsv3/#300----what-is-the-full-user-agent-string-that-uploaded-the-malicious-link-file-to-onedrive,300----what-is-the-full-user-agent-string-that-uploaded-the-malicious-link-file-to-onedrive
301,What external client IP address is able to initiate successful logins to Frothly using an expired user account?,199.66.91.253,m365,O365/OneDrive phishing and mail-rule activity,https://www.jamesgibbins.com/botsv3/#301----what-external-client-ip-address-is-able-to-initiate-successful-logins-to-frothly-using-an-expired-user-account,301----what-external-client-ip-address-is-able-to-initiate-successful-logins-to-frothly-using-an-expired-user-account
302,"According to Symantec’s website, what is the discovery date of the malware identified in the macro-enabled file?",11/11/2016,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#302----according-to-symantecs-website-what-is-the-discovery-date-of-the-malware-identified-in-the-macro-enabled-file,302----according-to-symantecs-website-what-is-the-discovery-date-of-the-malware-identified-in-the-macro-enabled-file
303,What is the password for the user that was successfully created by the user “root” on the on-premises Linux system?,ilovedavidverve,linux,Linux/web exploitation and privilege escalation,https://www.jamesgibbins.com/botsv3/#303----what-is-the-password-for-the-user-that-was-successfully-created-by-the-user-root-on-the-on-premises-linux-system,303----what-is-the-password-for-the-user-that-was-successfully-created-by-the-user-root-on-the-on-premises-linux-system
304,What is the name of the user that was created after the endpoint was compromised?,svcvnc,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#304----what-is-the-name-of-the-user-that-was-created-after-the-endpoint-was-compromised,304----what-is-the-name-of-the-user-that-was-created-after-the-endpoint-was-compromised
305,What is the process ID of the process listening on a “leet” port?,14356,general,General investigation context,https://www.jamesgibbins.com/botsv3/#305----what-is-the-process-id-of-the-process-listening-on-a-leet-port,305----what-is-the-process-id-of-the-process-listening-on-a-leet-port
306,A search query originating from an external IP address of Frothly’s mail server yields some interesting search terms. What is the search string?,cromdale OR beer OR financial OR secret,m365,O365/OneDrive phishing and mail-rule activity,https://www.jamesgibbins.com/botsv3/#306----a-search-query-originating-from-an-external-ip-address-of-frothlys-mail-server-yields-some-interesting-search-terms-what-is-the-search-string,306----a-search-query-originating-from-an-external-ip-address-of-frothlys-mail-server-yields-some-interesting-search-terms-what-is-the-search-string
307,What is the MD5 value of the file downloaded to Fyodor’s endpoint system and used to scan Frothly’s network?,586EF56F4D8963DD546163AC31C865D7,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#307----what-is-the-md5-value-of-the-file-downloaded-to-fyodors-endpoint-system-and-used-to-scan-frothlys-network,307----what-is-the-md5-value-of-the-file-downloaded-to-fyodors-endpoint-system-and-used-to-scan-frothlys-network
308,"Based on the information gathered for question 304, what groups was this user assigned to after the endpoint was compromised?","Administrators,Users",endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#308----based-on-the-information-gathered-for-question-304-what-groups-was-this-user-assigned-to-after-the-endpoint-was-compromised,308----based-on-the-information-gathered-for-question-304-what-groups-was-this-user-assigned-to-after-the-endpoint-was-compromised
309,"At some point during the attack, a user’s domain account is disabled. What is the email address of the user whose account gets disabled and what is the email address of the user who disabled their account?","bgist@froth.ly,fyodor@froth.ly",m365,O365/OneDrive phishing and mail-rule activity,https://www.jamesgibbins.com/botsv3/#309----at-some-point-during-the-attack-a-users-domain-account-is-disabled-what-is-the-email-address-of-the-user-whose-account-gets-disabled-and-what-is-the-email-address-of-the-user-who-disabled-their-account,309----at-some-point-during-the-attack-a-users-domain-account-is-disabled-what-is-the-email-address-of-the-user-whose-account-gets-disabled-and-what-is-the-email-address-of-the-user-who-disabled-their-account
310,Another set of phishing emails were sent to Frothly employees after the adversary gained a foothold on a Frothly computer. This malicious content was detected and left behind a digital artifact. What is the name of this file?,Frothly-Brewery-Financial-Planning-FY2019-Draft.xlsm,m365,O365/OneDrive phishing and mail-rule activity,https://www.jamesgibbins.com/botsv3/#310----another-set-of-phishing-emails-were-sent-to-frothly-employees-after-the-adversary-gained-a-foothold-on-a-frothly-computer-this-malicious-content-was-detected-and-left-behind-a-digital-artifact-what-is-the-name-of-this-file,310----another-set-of-phishing-emails-were-sent-to-frothly-employees-after-the-adversary-gained-a-foothold-on-a-frothly-computer-this-malicious-content-was-detected-and-left-behind-a-digital-artifact-what-is-the-name-of-this-file
311,"Based on the answer to question 310, what is the name of the executable that was embedded in the malware?",HxTsr.exe,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#311----based-on-the-answer-to-question-310-what-is-the-name-of-the-executable-that-was-embedded-in-the-malware,311----based-on-the-answer-to-question-310-what-is-the-name-of-the-executable-that-was-embedded-in-the-malware
312,How many unique IP addresses “used” the malicious link file that was sent?,7,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#312----how-many-unique-ip-addresses-used-the-malicious-link-file-that-was-sent,312----how-many-unique-ip-addresses-used-the-malicious-link-file-that-was-sent
314,What port number did the adversary use to download their attack tools?,3333,general,General investigation context,https://www.jamesgibbins.com/botsv3/#314----what-port-number-did-the-adversary-use-to-download-their-attack-tools,314----what-port-number-did-the-adversary-use-to-download-their-attack-tools
315,"During the attack, two files are remotely streamed to the /tmp directory of the on-premises Linux server by the adversary. What are the names of these files?","colonel,definitelydontinvestigatethisfile.sh",linux,Linux/web exploitation and privilege escalation,https://www.jamesgibbins.com/botsv3/#315----during-the-attack-two-files-are-remotely-streamed-to-the-tmp-directory-of-the-on-premises-linux-server-by-the-adversary-what-are-the-names-of-these-files,315----during-the-attack-two-files-are-remotely-streamed-to-the-tmp-directory-of-the-on-premises-linux-server-by-the-adversary-what-are-the-names-of-these-files
316,"Based on the information gathered for question 314, what file can be inferred to contain the attack tools?",logos.png,general,General investigation context,https://www.jamesgibbins.com/botsv3/#316----based-on-the-information-gathered-for-question-314-what-file-can-be-inferred-to-contain-the-attack-tools,316----based-on-the-information-gathered-for-question-314-what-file-can-be-inferred-to-contain-the-attack-tools
317,What is the first executable uploaded to the domain admin account’s compromised endpoint system?,cisconvmflowdata,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#317----what-is-the-first-executable-uploaded-to-the-domain-admin-accounts-compromised-endpoint-system,317----what-is-the-first-executable-uploaded-to-the-domain-admin-accounts-compromised-endpoint-system
318,From what country is a small brute force or password spray attack occurring against the Frothly web servers?,Russia,linux,Linux/web exploitation and privilege escalation,https://www.jamesgibbins.com/botsv3/#318----from-what-country-is-a-small-brute-force-or-password-spray-attack-occurring-against-the-frothly-web-servers,318----from-what-country-is-a-small-brute-force-or-password-spray-attack-occurring-against-the-frothly-web-servers
319,The adversary created a BCC rule to forward Frothly’s email to his personal account. What is the value of the “Name” parameter set to?,SOX,m365,O365/OneDrive phishing and mail-rule activity,https://www.jamesgibbins.com/botsv3/#319----the-adversary-created-a-bcc-rule-to-forward-frothlys-email-to-his-personal-account-what-is-the-value-of-the-name-parameter-set-to,319----the-adversary-created-a-bcc-rule-to-forward-frothlys-email-to-his-personal-account-what-is-the-value-of-the-name-parameter-set-to
320,What is the password for the user that was created on the compromised endpoint?,Password123!,endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#320----what-is-the-password-for-the-user-that-was-created-on-the-compromised-endpoint,320----what-is-the-password-for-the-user-that-was-created-on-the-compromised-endpoint
321,The Taedonggang adversary sent Grace Hoppy an email bragging about the successful exfiltration of customer data. How many Frothly customer emails were exposed or revealed?,8,m365,O365/OneDrive phishing and mail-rule activity,https://www.jamesgibbins.com/botsv3/#321----the-taedonggang-adversary-sent-grace-hoppy-an-email-bragging-about-the-successful-exfiltration-of-customer-data-how-many-frothly-customer-emails-were-exposed-or-revealed,321----the-taedonggang-adversary-sent-grace-hoppy-an-email-bragging-about-the-successful-exfiltration-of-customer-data-how-many-frothly-customer-emails-were-exposed-or-revealed
322,What is the path of the URL being accessed by the command and control server?,/admin/get.php,network,VPN and network activity,https://www.jamesgibbins.com/botsv3/#322----what-is-the-path-of-the-url-being-accessed-by-the-command-and-control-server,322----what-is-the-path-of-the-url-being-accessed-by-the-command-and-control-server
323,At least two Frothly endpoints contact the adversary’s command and control infrastructure. What are their short hostnames?,"ABUNGST-L,FYODOR-L",endpoint,Endpoint coin-mining activity,https://www.jamesgibbins.com/botsv3/#323----at-least-two-frothly-endpoints-contact-the-adversarys-command-and-control-infrastructure-what-are-their-short-hostnames,323----at-least-two-frothly-endpoints-contact-the-adversarys-command-and-control-infrastructure-what-are-their-short-hostnames
324,Who is Al Bungstein’s cell phone provider/carrier?,Verizon Wireless,m365,O365/OneDrive phishing and mail-rule activity,https://www.jamesgibbins.com/botsv3/#324----who-is-al-bungsteins-cell-phone-providercarrier,324----who-is-al-bungsteins-cell-phone-providercarrier
325,"Microsoft cloud services often have a delay or lag between “index time” and “event creation time”. For the entire day, what is the max lag, in minutes, for the sourcetype: ms:aad:signin?",51,m365,O365/OneDrive phishing and mail-rule activity,https://www.jamesgibbins.com/botsv3/#325----microsoft-cloud-services-often-have-a-delay-or-lag-between-index-time-and-event-creation-time-for-the-entire-day-what-is-the-max-lag-in-minutes-for-the-sourcetype-msaadsignin,325----microsoft-cloud-services-often-have-a-delay-or-lag-between-index-time-and-event-creation-time-for-the-entire-day-what-is-the-max-lag-in-minutes-for-the-sourcetype-msaadsignin
326,"According to Mallory’s advertising research, how is beer meant to be enjoyed?",responsibly,aws,AWS/web infrastructure activity,https://www.jamesgibbins.com/botsv3/#326----according-to-mallorys-advertising-research-how-is-beer-meant-to-be-enjoyed,326----according-to-mallorys-advertising-research-how-is-beer-meant-to-be-enjoyed
328,What text is displayed on line 2 of the file used to escalate tomcat8’s permissions to root?,Ubuntu 16.04.4 kernel priv esc,linux,Linux/web exploitation and privilege escalation,https://www.jamesgibbins.com/botsv3/#328----what-text-is-displayed-on-line-2-of-the-file-used-to-escalate-tomcat8s-permissions-to-root,328----what-text-is-displayed-on-line-2-of-the-file-used-to-escalate-tomcat8s-permissions-to-root
329,One of the files uploaded by Taedonggang contains a word that is a much larger in font size than any other in the file. What is that word?,Splunk,m365,O365/OneDrive phishing and mail-rule activity,https://www.jamesgibbins.com/botsv3/#329----one-of-the-files-uploaded-by-taedonggang-contains-a-word-that-is-a-much-larger-in-font-size-than-any-other-in-the-file-what-is-that-word,329----one-of-the-files-uploaded-by-taedonggang-contains-a-word-that-is-a-much-larger-in-font-size-than-any-other-in-the-file-what-is-that-word
330,What Frothly VPN user generated the most traffic?,mkraeusen,aws,AWS/web infrastructure activity,https://www.jamesgibbins.com/botsv3/#330----what-frothly-vpn-user-generated-the-most-traffic,330----what-frothly-vpn-user-generated-the-most-traffic
331,"Using Splunk commands only, what is the upper fence (UF) value of the interquartile range (IQR) of the count of event code 4688 by Windows hosts over the entire day? Use a 1.5 multiplier.",1368,network,VPN and network activity,https://www.jamesgibbins.com/botsv3/#331----using-splunk-commands-only-what-is-the-upper-fence-uf-value-of-the-interquartile-range-iqr-of-the-count-of-event-code-4688-by-windows-hosts-over-the-entire-day-use-a-15-multiplier,331----using-splunk-commands-only-what-is-the-upper-fence-uf-value-of-the-interquartile-range-iqr-of-the-count-of-event-code-4688-by-windows-hosts-over-the-entire-day-use-a-15-multiplier
332,What is the CVE of the vulnerability that escalated permissions on Linux host hoth?,CVE-2017-16995,linux,Linux/web exploitation and privilege escalation,https://www.jamesgibbins.com/botsv3/#332----what-is-the-cve-of-the-vulnerability-that-escalated-permissions-on-linux-host-hoth,332----what-is-the-cve-of-the-vulnerability-that-escalated-permissions-on-linux-host-hoth
333,What is the CVE of the vulnerability that was exploited to run commands on Linux host hoth?,CVE-2017-9791,linux,Linux/web exploitation and privilege escalation,https://www.jamesgibbins.com/botsv3/#333----what-is-the-cve-of-the-vulnerability-that-was-exploited-to-run-commands-on-linux-host-hoth,333----what-is-the-cve-of-the-vulnerability-that-was-exploited-to-run-commands-on-linux-host-hoth
